09:49:29 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:29 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:29 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:29 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:29 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:29 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:29 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:29 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:29 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:29 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:29 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:29 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:29 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:29 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:29 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:30 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:30 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
